iter	RMSE
290	0.1481409671
291	0.1480596223
292	0.1479750996
293	0.147908754
294	0.1478298519
295	0.147756416
296	0.1476953157
297	0.1475779173
298	0.14749627
299	0.1474360056
300	0.1473528111
301	0.1472810546
302	0.1472126608
303	0.1471657703
304	0.1470375769
305	0.1469578177
306	0.1468784514
307	0.1468267314
308	0.1466924399
309	0.1466231532
310	0.1465159513
311	0.1464472229
312	0.1463454613
313	0.1462796875
314	0.1461972094
315	0.1461215343
316	0.1460651114
317	0.1459758855
318	0.1458802379
319	0.1458085969
320	0.1457019617
321	0.1456009821
322	0.1455242975
323	0.145443862
324	0.1453817896
325	0.1453318147
326	0.1452579462
327	0.145198018
328	0.1451465561
329	0.1450877662
330	0.1450027434
331	0.1449318708
332	0.1448929177
333	0.1448357591
334	0.1447676562
335	0.1447078461
336	0.1446294634
337	0.1445652244
338	0.1444996375
339	0.1444356281
340	0.1443111338
341	0.1442534589
342	0.1442130498
343	0.1441733936
344	0.1440809058
345	0.1440078866
346	0.1438871998
347	0.1437812471
348	0.1437078423
349	0.1436544124
350	0.1435861691
351	0.143520753
352	0.1434398036
353	0.1433431263
354	0.1432702448
355	0.14320133
356	0.1431465838
357	0.143093408
358	0.1430468439
359	0.142973131
360	0.1429096221
361	0.1428128261
362	0.142718143
363	0.1426227859
364	0.1425487431
365	0.1424790008
366	0.1424331235
367	0.1423591722
368	0.1423117322
369	0.1422676924
370	0.1421931846
371	0.1421115698
372	0.1420364665
373	0.1419581952
374	0.1418686872
375	0.1417755321
376	0.1416920462
377	0.1416131268
378	0.141578784
379	0.1415177736
380	0.1414497906
381	0.1413733173
382	0.1412843867
383	0.1412313226
384	0.1411582961
385	0.1410762331
386	0.1410309794
387	0.1409827355
388	0.1409076843
389	0.1408272083
390	0.1407590439
391	0.1406871553
392	0.1406130086
393	0.1405711186
394	0.1404843838
395	0.1403856245
396	0.1403358532
397	0.1402545765
398	0.1401878858
399	0.1401229937
400	0.1400532785
401	0.1399714172
402	0.1399198627
403	0.1398626324
404	0.1397988053
405	0.1397585269
406	0.1397110956
407	0.1396475956
408	0.1395690235
409	0.1395126907
410	0.1394363122
411	0.1393781881
412	0.1393005761
413	0.1392400436
414	0.1391970059
415	0.1391361471
416	0.1390556042
417	0.1389826377
418	0.1389407668
419	0.1388432649
420	0.1387876328
421	0.138752872
422	0.1386927368
423	0.1386174963
424	0.138565177
425	0.1385071215
426	0.1384702534
427	0.1383800248
428	0.138299201
429	0.1381953403
430	0.1381384095
431	0.1380978411
432	0.1380501418
433	0.1379682622
434	0.1379096293
435	0.1377973923
436	0.1377199001
437	0.1376654469
438	0.1376028787
439	0.1375491323
440	0.1375021564
441	0.1374590438
442	0.1374124509
443	0.13733804
444	0.1372834525
445	0.1372016031
446	0.1371630442
447	0.1371101675
448	0.1370352753
449	0.1369467038
450	0.1368838217
451	0.136809758
452	0.1367465795
453	0.1366941544
454	0.1366040536
455	0.1365545127
456	0.1365025285
457	0.1364491374
458	0.1363990831
459	0.1363250389
460	0.1362842508
461	0.1362080523
462	0.1361574419
463	0.1360841496
464	0.1360000269
465	0.1359297254
466	0.135885796
467	0.1358115374
468	0.1357527736
469	0.1357127949
470	0.1356319603
471	0.1355701046
472	0.1355022588
473	0.1354462338
474	0.1353695964
475	0.1353087203
476	0.1352787573
477	0.1352238006
478	0.1351414841
479	0.1350773301
480	0.1350370503
481	0.1350145375
482	0.1349761244
483	0.1349254019
484	0.1348507387
485	0.1348083608
486	0.1347780798
487	0.1346864634
488	0.1346438342
489	0.1346318797
490	0.1345889178
491	0.1345493422
492	0.1344965679
493	0.1344401202
494	0.1343852169
495	0.1343220685
496	0.1342626589
497	0.1342226929
498	0.1341640155
499	0.1341098349
500	0.1340600327
501	0.1340181628
502	0.1339522028
503	0.1338888458
504	0.1338360403
505	0.1337673786
506	0.1337312467
507	0.1336941526
508	0.1336569139
509	0.1335968181
510	0.1335679803
511	0.1335038924
512	0.1334562289
513	0.1334113461
514	0.1333554919
515	0.1333090488
516	0.1332668277
517	0.1332178623
518	0.1331668808
519	0.1331324648
520	0.1330877598
521	0.1330148976
522	0.1329802656
523	0.1329105384
524	0.1328701584
525	0.132829794
526	0.1327715126
527	0.1327159585
528	0.1326561091
529	0.1325900932
530	0.132541129
531	0.1324830426
532	0.1324357877
533	0.1323846478
534	0.1323131294
535	0.1322577458
536	0.1321987703
537	0.1321571205
538	0.1321116998
539	0.1320415284
540	0.1319597852
541	0.1319242523
542	0.1318998304
543	0.1318285716
544	0.1317573498
545	0.1317177435
546	0.1316843079
547	0.1315988892
548	0.1315338936
549	0.1314891115
550	0.1314264877
551	0.1313847959
552	0.1313095203
553	0.1312666392
554	0.1312195742
555	0.1311747239
556	0.1311181633
557	0.1310628075
558	0.1309887529
559	0.1309413811
560	0.1308697233
561	0.1308117282
562	0.1307658344
563	0.1307153132
564	0.1306615904
565	0.1305979959
566	0.1305609941
567	0.1305261772
568	0.1304709833
569	0.1304004908
570	0.1303625877
571	0.1302987446
572	0.1302541064
573	0.1302035539
574	0.130158962
575	0.1301088016
576	0.1300643617
577	0.1300090637
578	0.1299507637
