iter	Passed	Remaining
432	1604	2100
433	1607	2096
434	1611	2092
435	1615	2089
436	1618	2085
437	1622	2081
438	1625	2077
439	1629	2073
440	1633	2069
441	1636	2066
442	1640	2062
443	1643	2058
444	1647	2054
445	1650	2050
446	1654	2046
447	1658	2043
448	1662	2039
449	1665	2035
450	1669	2032
451	1673	2028
452	1677	2025
453	1680	2021
454	1684	2017
455	1688	2014
456	1692	2010
457	1695	2006
458	1699	2003
459	1703	1999
460	1707	1996
461	1711	1992
462	1714	1988
463	1717	1984
464	1721	1980
465	1725	1977
466	1729	1974
467	1733	1970
468	1737	1966
469	1740	1962
470	1744	1959
471	1747	1955
472	1751	1951
473	1754	1947
474	1758	1943
475	1762	1939
476	1765	1936
477	1769	1932
478	1773	1928
479	1777	1925
480	1780	1921
481	1784	1917
482	1787	1913
483	1791	1910
484	1795	1906
485	1798	1902
486	1802	1898
487	1806	1895
488	1810	1891
489	1813	1887
490	1817	1884
491	1820	1879
492	1824	1876
493	1828	1872
494	1831	1868
495	1835	1864
496	1838	1861
497	1842	1857
498	1845	1853
499	1849	1849
500	1853	1845
501	1856	1841
502	1860	1838
503	1863	1834
504	1868	1831
505	1871	1827
506	1875	1823
507	1878	1819
508	1882	1815
509	1886	1812
510	1889	1808
511	1893	1804
512	1896	1800
513	1900	1796
514	1903	1792
515	1907	1789
516	1911	1785
517	1914	1781
518	1918	1778
519	1922	1774
520	1925	1770
521	1929	1767
522	1933	1763
523	1937	1759
524	1941	1756
525	1944	1752
526	1948	1748
527	1952	1745
528	1956	1741
529	1959	1738
530	1963	1734
531	1967	1730
532	1971	1727
533	1975	1724
534	1979	1720
535	1983	1716
536	1986	1712
537	1990	1709
538	1993	1705
539	1997	1701
540	2000	1697
541	2004	1693
542	2007	1689
543	2011	1686
544	2015	1682
545	2018	1678
546	2022	1674
547	2026	1671
548	2029	1667
549	2033	1663
550	2037	1659
551	2040	1656
552	2044	1652
553	2048	1649
554	2051	1645
555	2055	1641
556	2059	1637
557	2062	1633
558	2066	1630
559	2070	1626
560	2073	1622
561	2077	1618
562	2080	1615
563	2084	1611
564	2088	1607
565	2091	1603
566	2095	1600
567	2098	1596
568	2102	1592
569	2106	1589
570	2110	1585
571	2113	1581
572	2117	1578
573	2121	1574
574	2125	1571
575	2129	1567
576	2132	1563
577	2136	1559
578	2140	1556
579	2143	1552
580	2147	1549
581	2151	1545
582	2155	1541
583	2159	1537
584	2162	1534
585	2166	1530
586	2170	1526
587	2173	1523
588	2177	1519
589	2181	1515
590	2185	1512
591	2188	1508
592	2192	1504
593	2195	1500
594	2199	1497
595	2203	1493
596	2207	1490
597	2210	1486
598	2214	1482
599	2218	1478
600	2222	1475
601	2228	1473
602	2235	1471
603	2241	1469
604	2249	1468
605	2253	1465
606	2257	1461
607	2262	1458
608	2267	1455
609	2271	1452
610	2275	1448
611	2279	1444
612	2282	1441
613	2286	1437
614	2289	1433
615	2293	1429
616	2296	1425
617	2300	1421
618	2304	1418
619	2307	1414
620	2311	1410
621	2315	1406
622	2318	1402
623	2322	1399
624	2325	1395
625	2329	1391
626	2332	1387
627	2336	1384
628	2340	1380
629	2343	1376
630	2347	1372
631	2351	1369
632	2355	1365
633	2358	1361
634	2362	1358
635	2366	1354
636	2370	1350
637	2373	1346
638	2377	1343
639	2381	1339
640	2384	1335
641	2388	1331
642	2391	1328
643	2395	1324
644	2399	1320
645	2402	1316
646	2406	1312
647	2409	1308
648	2413	1305
649	2416	1301
650	2420	1297
651	2424	1294
652	2428	1290
653	2432	1286
654	2436	1283
655	2440	1279
656	2443	1275
657	2447	1272
658	2451	1268
659	2455	1264
660	2459	1261
661	2463	1257
662	2466	1253
663	2470	1249
664	2473	1246
665	2478	1242
666	2481	1238
667	2485	1235
668	2488	1231
669	2492	1227
670	2495	1223
671	2499	1219
672	2502	1216
673	2506	1212
674	2510	1208
675	2514	1204
676	2517	1201
677	2521	1197
678	2524	1193
679	2528	1189
680	2532	1186
681	2535	1182
682	2539	1178
683	2542	1174
684	2546	1171
685	2550	1167
686	2554	1163
687	2557	1159
688	2561	1156
689	2565	1152
690	2569	1148
691	2573	1145
692	2576	1141
693	2580	1137
694	2584	1134
695	2587	1130
696	2591	1126
697	2595	1122
698	2598	1119
699	2602	1115
700	2605	1111
701	2609	1107
702	2613	1104
703	2617	1100
704	2621	1096
705	2624	1093
706	2628	1089
707	2632	1085
708	2635	1081
709	2639	1078
710	2643	1074
711	2647	1070
712	2650	1066
713	2654	1063
714	2658	1059
715	2662	1055
716	2665	1052
717	2669	1048
718	2673	1044
719	2677	1041
720	2681	1037
721	2685	1033
722	2689	1030
723	2693	1026
724	2697	1023
725	2700	1019
726	2703	1015
727	2707	1011
728	2711	1007
729	2714	1004
730	2718	1000
731	2721	996
732	2725	992
733	2729	989
734	2733	985
735	2737	981
736	2740	978
737	2744	974
738	2747	970
739	2751	966
740	2755	963
741	2758	959
742	2762	955
743	2765	951
744	2769	947
745	2773	944
746	2777	940
747	2780	936
748	2784	933
749	2788	929
750	2792	925
751	2796	922
752	2799	918
753	2803	914
754	2807	910
755	2810	907
756	2814	903
757	2818	899
758	2821	895
759	2825	892
760	2829	888
761	2832	884
762	2836	881
763	2840	877
764	2844	873
765	2847	869
766	2851	866
767	2855	862
768	2859	858
769	2862	855
770	2866	851
771	2870	847
772	2873	843
773	2877	840
774	2881	836
775	2885	832
776	2888	829
777	2892	825
778	2896	821
779	2899	817
780	2903	814
781	2907	810
782	2911	806
783	2914	803
784	2918	799
785	2922	795
786	2926	791
787	2929	788
788	2933	784
789	2937	780
790	2940	777
791	2944	773
792	2948	769
793	2951	765
794	2955	762
795	2958	758
796	2962	754
797	2966	750
798	2969	747
799	2973	743
800	2976	739
801	2980	735
802	2983	732
803	2988	728
804	2992	724
805	2996	721
806	3000	717
807	3003	713
808	3008	710
809	3011	706
810	3014	702
811	3018	698
812	3022	695
813	3026	691
814	3030	687
815	3034	684
816	3037	680
817	3041	676
818	3045	673
819	3048	669
820	3052	665
821	3056	661
822	3060	658
823	3064	654
824	3067	650
825	3071	646
826	3074	643
827	3078	639
828	3082	635
829	3086	632
830	3089	628
831	3093	624
832	3097	620
833	3101	617
834	3104	613
835	3108	609
836	3112	606
837	3115	602
838	3119	598
839	3122	594
840	3126	591
841	3129	587
842	3133	583
843	3137	579
844	3140	576
845	3144	572
846	3148	568
847	3152	565
848	3155	561
849	3159	557
850	3163	553
851	3166	550
852	3170	546
853	3174	542
854	3177	538
855	3181	535
856	3185	531
857	3189	527
858	3193	524
859	3197	520
860	3200	516
861	3204	512
862	3207	509
863	3211	505
864	3214	501
865	3218	498
866	3222	494
867	3225	490
868	3229	486
869	3232	483
870	3236	479
871	3240	475
872	3243	471
873	3247	468
874	3250	464
875	3254	460
876	3258	456
877	3261	453
878	3265	449
879	3269	445
880	3273	442
881	3276	438
882	3280	434
883	3283	430
884	3287	427
885	3291	423
886	3294	419
887	3298	416
888	3301	412
889	3305	408
890	3308	404
891	3312	401
892	3316	397
893	3320	393
894	3323	389
895	3326	386
896	3330	382
897	3334	378
898	3338	375
899	3341	371
900	3345	367
901	3348	363
902	3352	360
903	3356	356
904	3360	352
905	3363	348
906	3367	345
907	3370	341
908	3374	337
909	3377	334
910	3381	330
911	3384	326
912	3388	322
913	3391	319
914	3395	315
915	3399	311
916	3402	307
917	3406	304
918	3410	300
919	3413	296
920	3417	293
921	3420	289
922	3424	285
923	3427	281
924	3431	278
925	3435	274
926	3438	270
927	3442	267
928	3445	263
929	3448	259
930	3452	255
931	3456	252
932	3459	248
933	3462	244
934	3466	240
935	3469	237
936	3473	233
937	3477	229
938	3480	226
939	3484	222
940	3488	218
941	3491	214
942	3495	211
943	3498	207
944	3502	203
945	3505	200
946	3509	196
947	3513	192
948	3517	189
949	3520	185
950	3523	181
951	3527	177
952	3531	174
953	3534	170
954	3538	166
955	3541	163
956	3545	159
957	3549	155
958	3553	151
959	3556	148
960	3559	144
961	3563	140
962	3567	137
963	3570	133
964	3574	129
965	3578	125
966	3581	122
967	3585	118
968	3588	114
969	3592	111
970	3596	107
971	3599	103
972	3603	99
973	3606	96
974	3610	92
975	3614	88
976	3618	85
977	3621	81
978	3625	77
979	3629	74
980	3632	70
981	3636	66
982	3640	62
983	3644	59
984	3647	55
985	3650	51
986	3654	48
987	3657	44
988	3661	40
989	3664	37
990	3668	33
991	3672	29
992	3675	25
993	3679	22
994	3682	18
995	3686	14
996	3689	11
997	3693	7
998	3697	3
999	3701	0
